elapsed_wall_ms,cpu_user_ms,cpu_sys_ms,cpu_total_ms,mode,source
599.145,1552.964,335.882,1888.846,cold,zip
555.994,1372.837,326.297,1699.134,cold,zip
541.459,1259.768,384.602,1644.37,cold,zip
593.128,1401.042,386.359,1787.401,cold,zip
545.045,1670.03,386.292,2056.322,cold,zip
540.2,1253.487,390.494,1643.981,cold,zip
449.178,1365.036,207.193,1572.229,cold,zip
545.069,1507.244,257.236,1764.48,cold,zip
495.028,1327.247,343.805,1671.052,cold,zip
510.414,1471.154,366.781,1837.935,cold,zip
633.259,1529.611,402.529,1932.14,cold,zip
620.77,1570.998,437.493,2008.491,cold,zip
511.521,1414.628,373.751,1788.379,cold,zip
556.178,1347.113,372.861,1719.974,cold,zip
528.175,1567.076,356.53,1923.606,cold,zip
479.071,1391.801,373.22,1765.021,cold,zip
508.217,1400.522,389.033,1789.555,cold,zip
573.061,1401.155,442.47,1843.625,cold,zip
515.329,1398.974,352.856,1751.83,cold,zip
580.91,1402.077,436.712,1838.789,cold,zip
541.134,1497.727,375.419,1873.146,cold,zip
471.654,1455.032,264.91,1719.942,cold,zip
493.716,1327.255,379.799,1707.054,cold,zip
493.103,1475.359,301.333,1776.692,cold,zip
506.611,1576.578,281.095,1857.673,cold,zip
558.945,1428.457,351.445,1779.902,cold,zip
484.247,1303.978,362.946,1666.924,cold,zip
656.402,1611.397,484.601,2095.998,cold,zip
557.84,1505.534,295.516,1801.05,cold,zip
634.266,1689.359,460.734,2150.093,cold,zip
607.109,1444.701,424.454,1869.155,cold,zip
475.814,1369.676,287.713,1657.389,cold,zip
575.291,1443.794,404.916,1848.71,cold,zip
492.063,1304.223,388.492,1692.715,cold,zip
638.224,1480.542,420.7,1901.242,cold,zip
581.345,1436.618,413.808,1850.426,cold,zip
583.779,1556.192,370.521,1926.713,cold,zip
584.884,1577.662,345.113,1922.775,cold,zip
504.189,1337.741,377.108,1714.849,cold,zip
567.186,1457.266,404.351,1861.617,cold,zip
587.501,1513.875,371.478,1885.353,cold,zip
569.249,1489.97,408.857,1898.827,cold,zip
629.225,1543.524,353.145,1896.669,cold,zip
496.29,1362.409,358.528,1720.937,cold,zip
505.844,1315.417,344.514,1659.931,cold,zip
485.418,1405.249,333.449,1738.698,cold,zip
503.515,1523.852,347.406,1871.258,cold,zip
583.24,1540.057,399.124,1939.181,cold,zip
647.507,1432.781,475.06,1907.841,cold,zip
603.819,1437.666,403.972,1841.638,cold,zip
462.18,1432.848,257.279,1690.127,cold,zip
526.491,1421.387,340.499,1761.886,cold,zip
534.379,1760.222,310.387,2070.609,cold,zip
638.67,1435.15,447.766,1882.916,cold,zip
512.404,1420.396,348.941,1769.337,cold,zip
617.278,1543.286,406.976,1950.262,cold,zip
634.624,1571.352,434.456,2005.808,cold,zip
556.159,1641.052,358.119,1999.171,cold,zip
581.366,1450.308,386.223,1836.531,cold,zip
484.446,1411.538,321.718,1733.256,cold,zip
519.315,1404.379,364.248,1768.627,cold,zip
502.947,1525.153,346.992,1872.145,cold,zip
487.51,1278.843,321.747,1600.59,cold,zip
584.255,1313.657,458.988,1772.645,cold,zip
521.271,1260.729,421.556,1682.285,cold,zip
483.233,1208.555,379.478,1588.033,cold,zip
432.843,905.986,237.569,1143.555,cold,zip
555.549,1106.821,443.542,1550.363,cold,zip
608.275,1023.259,389.996,1413.255,cold,zip
541.896,1259.846,314.961,1574.807,cold,zip
571.141,1392.943,400.225,1793.168,cold,zip
683.937,1300.53,438.98,1739.51,cold,zip
484.674,1218.684,320.706,1539.39,cold,zip
568.561,1123.349,435.584,1558.933,cold,zip
646.093,1007.514,405.367,1412.881,cold,zip
563.575,1350.118,343.592,1693.71,cold,zip
584.156,1126.644,332.78,1459.424,cold,zip
519.526,1270.036,396.636,1666.672,cold,zip
693.141,1154.234,400.289,1554.523,cold,zip
545.441,1315.002,356.814,1671.816,cold,zip
652.318,1013.481,447.356,1460.837,cold,zip
600.395,1173.354,414.585,1587.939,cold,zip
838.025,1423.644,516.222,1939.866,cold,zip
698.021,1426.868,366.793,1793.661,cold,zip
676.285,1498.005,470.35,1968.355,cold,zip
687.634,1085.271,496.094,1581.365,cold,zip
580.587,1130.641,350.457,1481.098,cold,zip
485.76,1208.127,292.03,1500.157,cold,zip
630.497,1421.305,374.451,1795.756,cold,zip
521.751,1051.301,337.058,1388.359,cold,zip
682.376,1151.933,439.607,1591.54,cold,zip
518.969,1304.846,307.257,1612.103,cold,zip
614.312,1461.999,342.17,1804.169,cold,zip
710.48,1610.27,393.621,2003.891,cold,zip
592.76,1180.671,370.177,1550.848,cold,zip
515.997,1237.906,385.534,1623.44,cold,zip
567.223,1425.462,386.566,1812.028,cold,zip
692.066,1221.788,428.015,1649.803,cold,zip
522.965,1403.142,433.84,1836.982,cold,zip
625.288,1054.317,392.396,1446.713,cold,zip
621.269,1078.798,397.659,1476.457,cold,zip
632.576,1194.198,352.649,1546.847,cold,zip
593.308,1515.445,329.272,1844.717,cold,zip
478.478,1239.435,361.0,1600.435,cold,zip
571.437,1260.175,458.245,1718.42,cold,zip
473.236,1282.455,215.045,1497.5,cold,zip
571.412,1074.923,359.639,1434.562,cold,zip
605.426,1375.861,342.944,1718.805,cold,zip
425.94,1217.344,249.918,1467.262,cold,zip
565.091,1219.605,321.162,1540.767,cold,zip
616.286,1272.695,440.24,1712.935,cold,zip
526.529,970.702,348.357,1319.059,cold,zip
563.429,1206.868,410.101,1616.969,cold,zip
519.908,1266.631,227.753,1494.384,cold,zip
628.701,1201.704,360.907,1562.611,cold,zip
654.709,1306.437,450.596,1757.033,cold,zip
540.968,1320.988,293.106,1614.094,cold,zip
617.312,1211.408,318.791,1530.199,cold,zip
672.141,1255.154,475.137,1730.291,cold,zip
691.141,1283.344,414.739,1698.083,cold,zip
430.727,1200.032,335.535,1535.567,cold,zip
617.236,1275.475,417.211,1692.686,cold,zip
580.572,1322.193,299.799,1621.992,cold,zip
660.163,1261.0,405.466,1666.466,cold,zip
688.908,1246.41,411.475,1657.885,cold,zip
514.368,1547.773,337.179,1884.952,cold,zip
536.318,1000.394,332.114,1332.508,cold,zip
444.737,1201.69,280.123,1481.813,cold,zip
459.03,1252.456,263.895,1516.351,cold,zip
548.375,1211.392,313.149,1524.541,cold,zip
699.519,1387.377,438.944,1826.321,cold,zip
601.419,1275.257,470.678,1745.935,cold,zip
530.511,1222.979,329.263,1552.242,cold,zip
633.765,1273.343,445.473,1718.816,cold,zip
489.589,1195.064,360.102,1555.166,cold,zip
676.896,1118.992,422.556,1541.548,cold,zip
508.088,1179.37,235.077,1414.447,cold,zip
642.469,988.411,416.173,1404.584,cold,zip
551.465,1198.561,398.166,1596.727,cold,zip
474.982,1276.985,309.453,1586.438,cold,zip
609.345,1150.699,391.557,1542.256,cold,zip
672.944,1402.362,423.877,1826.239,cold,zip
621.885,1295.037,383.266,1678.303,cold,zip
534.759,1121.539,378.047,1499.586,cold,zip
646.437,1410.742,377.805,1788.547,cold,zip
641.808,1279.867,383.96,1663.827,cold,zip
514.855,1314.589,306.083,1620.672,cold,zip
689.989,1192.952,425.21,1618.162,cold,zip
518.237,1109.18,356.662,1465.842,cold,zip
608.07,1362.192,325.655,1687.847,cold,zip
494.458,1103.287,367.762,1471.049,cold,zip
523.163,1171.404,327.833,1499.237,cold,zip
559.338,1247.396,369.451,1616.847,cold,zip
599.969,1260.067,371.305,1631.372,cold,zip
572.055,1103.76,331.128,1434.888,cold,zip
537.059,1203.141,391.53,1594.671,cold,zip
714.236,1208.462,478.81,1687.272,cold,zip
645.135,1275.677,309.014,1584.691,cold,zip
533.016,840.567,299.646,1140.213,cold,zip
649.571,945.249,385.101,1330.35,cold,zip
613.936,1070.106,298.159,1368.265,cold,zip
623.538,976.036,442.94,1418.976,cold,zip
637.687,1084.125,332.038,1416.163,cold,zip
657.89,1265.876,365.61,1631.486,cold,zip
685.471,951.195,393.598,1344.793,cold,zip
534.084,882.343,356.033,1238.376,cold,zip
697.993,987.357,513.585,1500.942,cold,zip
622.998,1190.581,273.512,1464.093,cold,zip
637.887,1062.133,414.587,1476.72,cold,zip
549.003,1147.027,312.466,1459.493,cold,zip
713.443,925.175,370.867,1296.042,cold,zip
642.469,1128.55,285.193,1413.743,cold,zip
632.866,1165.661,334.721,1500.382,cold,zip
544.957,1100.525,261.275,1361.8,cold,zip
742.893,957.046,411.326,1368.372,cold,zip
648.707,967.226,319.776,1287.002,cold,zip
474.429,936.821,232.301,1169.122,cold,zip
548.555,1083.685,277.125,1360.81,cold,zip
591.817,808.27,295.708,1103.978,cold,zip
473.298,768.895,279.23,1048.125,cold,zip
652.992,1121.156,341.051,1462.207,cold,zip
693.478,1140.007,381.312,1521.319,cold,zip
570.453,872.804,399.22,1272.024,cold,zip
656.365,1158.767,343.634,1502.401,cold,zip
571.535,1000.463,250.115,1250.578,cold,zip
641.754,945.549,315.183,1260.732,cold,zip
526.946,979.542,308.517,1288.059,cold,zip
636.474,1022.103,455.155,1477.258,cold,zip
688.163,1158.044,261.889,1419.933,cold,zip
508.241,1206.818,236.631,1443.449,cold,zip
629.399,1081.76,405.138,1486.898,cold,zip
782.103,1360.179,442.467,1802.646,cold,zip
498.846,929.539,315.306,1244.845,cold,zip
705.592,1012.848,334.926,1347.774,cold,zip
737.634,1125.252,304.338,1429.59,cold,zip
667.378,1023.225,392.303,1415.528,cold,zip
492.802,1128.512,242.69,1371.202,cold,zip
676.596,1038.927,387.536,1426.463,cold,zip
552.389,1053.78,303.975,1357.755,cold,zip
721.199,1429.814,409.097,1838.911,cold,zip
712.607,1043.15,337.017,1380.167,cold,zip
484.67,999.469,241.935,1241.404,cold,zip
663.873,1014.975,431.564,1446.539,cold,zip
594.708,1065.299,303.231,1368.53,cold,zip
595.821,905.252,390.904,1296.156,cold,zip
595.47,1297.726,344.458,1642.184,cold,zip
736.339,1205.724,323.389,1529.113,cold,zip
703.649,1115.599,488.322,1603.921,cold,zip
492.891,930.172,261.736,1191.908,cold,zip
599.69,1282.942,259.016,1541.958,cold,zip
553.493,1038.321,355.759,1394.08,cold,zip
556.679,916.949,254.483,1171.432,cold,zip
712.793,1270.743,352.324,1623.067,cold,zip
634.788,1279.455,290.062,1569.517,cold,zip
489.043,952.931,212.637,1165.568,cold,zip
611.701,980.702,326.9,1307.602,cold,zip
631.396,1149.354,312.368,1461.722,cold,zip
626.301,1000.484,328.158,1328.642,cold,zip
590.083,1203.248,286.487,1489.735,cold,zip
564.282,1191.885,263.091,1454.976,cold,zip
612.73,1168.576,325.929,1494.505,cold,zip
436.169,1120.279,219.355,1339.634,cold,zip
527.663,1133.275,268.086,1401.361,cold,zip
638.811,1006.699,262.793,1269.492,cold,zip
565.088,977.05,325.683,1302.733,cold,zip
602.582,1232.21,372.063,1604.273,cold,zip
626.551,1199.349,340.952,1540.301,cold,zip
677.056,1312.253,338.004,1650.257,cold,zip
670.459,981.746,365.587,1347.333,cold,zip
588.279,1230.378,338.743,1569.121,cold,zip
487.746,875.477,265.416,1140.893,cold,zip
