elapsed_wall_ms,cpu_user_ms,cpu_sys_ms,cpu_total_ms,source
443.851,354.28,76.492,430.772,zip
609.714,460.432,134.954,595.386,zip
525.184,394.153,111.477,505.63,zip
462.821,323.298,127.723,451.021,zip
435.309,294.804,127.483,422.287,zip
732.49,569.876,147.45,717.326,zip
574.987,448.616,108.148,556.764,zip
557.362,428.204,112.053,540.257,zip
651.787,501.081,129.311,630.392,zip
593.751,430.116,143.372,573.488,zip
507.592,369.313,103.248,472.561,zip
513.82,378.372,122.055,500.427,zip
473.538,382.042,78.771,460.813,zip
555.706,386.977,153.178,540.155,zip
558.539,448.162,96.9,545.062,zip
488.201,376.981,99.205,476.186,zip
638.927,453.01,162.924,615.934,zip
438.484,323.725,95.918,419.643,zip
529.763,373.883,131.257,505.14,zip
456.132,342.869,103.658,446.527,zip
380.664,286.257,75.54,361.797,zip
444.13,328.944,95.116,424.06,zip
349.303,218.019,95.135,313.154,zip
439.758,301.994,115.234,417.228,zip
625.162,504.795,99.369,604.164,zip
438.406,331.87,95.962,427.832,zip
603.837,410.095,175.186,585.281,zip
550.539,418.126,109.605,527.731,zip
479.213,371.482,94.846,466.328,zip
380.668,293.907,75.462,369.369,zip
624.679,481.692,127.389,609.081,zip
428.339,325.683,91.35,417.033,zip
505.197,378.21,115.453,493.663,zip
425.435,334.939,79.747,414.686,zip
485.492,369.394,104.394,473.788,zip
447.739,316.637,118.738,435.375,zip
569.02,460.908,93.813,554.721,zip
437.621,329.477,93.555,423.032,zip
533.032,375.474,147.793,523.267,zip
507.573,387.273,103.805,491.078,zip
629.342,450.344,155.428,605.772,zip
456.549,304.552,138.063,442.615,zip
443.639,333.802,99.345,433.147,zip
467.643,359.025,88.747,447.772,zip
439.316,318.688,99.59,418.278,zip
365.032,270.746,82.401,353.147,zip
729.0,545.088,153.432,698.52,zip
452.071,326.325,110.085,436.41,zip
403.07,284.477,106.679,391.156,zip
528.681,356.859,146.708,503.567,zip
490.911,366.585,115.554,482.139,zip
541.118,400.582,118.984,519.566,zip
611.719,488.257,98.438,586.695,zip
441.294,346.149,83.553,429.702,zip
510.024,386.714,107.642,494.356,zip
480.964,363.475,107.844,471.319,zip
420.953,334.879,75.746,410.625,zip
488.02,380.863,88.2,469.063,zip
687.881,557.38,112.278,669.658,zip
472.065,328.672,128.262,456.934,zip
505.956,391.787,103.943,495.73,zip
514.551,370.915,116.919,487.834,zip
455.864,312.477,120.183,432.66,zip
331.176,237.352,68.389,305.741,zip
551.188,415.143,115.761,530.904,zip
721.879,580.292,124.062,704.354,zip
365.08,259.194,85.048,344.242,zip
421.736,307.693,83.916,391.609,zip
598.782,448.42,140.131,588.551,zip
605.001,464.716,114.21,578.926,zip
495.296,365.051,108.311,473.362,zip
505.845,334.567,139.403,473.97,zip
678.059,512.288,132.074,644.362,zip
276.865,187.575,79.819,267.394,zip
399.899,292.344,88.103,380.447,zip
377.323,270.293,87.447,357.74,zip
405.74,279.492,95.826,375.318,zip
520.001,391.112,115.737,506.849,zip
639.075,472.649,148.203,620.852,zip
313.507,220.652,84.249,304.901,zip
548.642,388.943,138.908,527.851,zip
625.193,430.766,161.034,591.8,zip
429.048,333.686,79.449,413.135,zip
635.097,491.068,130.687,621.755,zip
542.148,422.557,90.83,513.387,zip
315.814,236.442,60.112,296.554,zip
454.246,325.005,116.359,441.364,zip
527.405,361.822,145.515,507.337,zip
494.26,378.73,94.682,473.412,zip
442.09,302.688,114.944,417.632,zip
597.791,419.115,134.433,553.548,zip
754.799,537.188,188.416,725.604,zip
573.808,428.007,124.002,552.009,zip
543.828,391.906,137.369,529.275,zip
421.281,322.442,87.576,410.018,zip
560.76,437.691,100.387,538.078,zip
556.9,382.424,151.376,533.8,zip
434.525,321.703,90.736,412.439,zip
418.864,321.488,75.41,396.898,zip
687.167,513.69,150.155,663.845,zip
467.707,363.656,84.853,448.509,zip
379.106,281.065,83.132,364.197,zip
461.003,350.206,91.531,441.737,zip
535.704,391.322,129.096,520.418,zip
488.857,381.647,96.416,478.063,zip
751.237,574.097,151.498,725.595,zip
816.212,611.792,181.122,792.914,zip
434.749,340.756,83.207,423.963,zip
611.938,436.864,148.293,585.157,zip
387.491,272.806,84.249,357.055,zip
430.751,303.683,99.895,403.578,zip
447.408,337.905,95.408,433.313,zip
544.828,401.065,127.07,528.135,zip
481.091,347.26,123.736,470.996,zip
455.58,354.537,91.622,446.159,zip
517.854,370.616,135.494,506.11,zip
513.858,365.567,131.127,496.694,zip
588.797,458.277,116.579,574.856,zip
461.389,351.034,91.747,442.781,zip
650.009,450.486,169.92,620.406,zip
507.213,330.734,151.42,482.154,zip
589.533,453.957,119.462,573.419,zip
348.233,259.406,79.817,339.223,zip
342.247,274.72,56.56,331.28,zip
468.985,353.164,87.299,440.463,zip
606.95,474.225,123.537,597.762,zip
489.345,368.807,108.237,477.044,zip
215.422,117.15,88.872,206.022,zip
613.035,440.243,153.479,593.722,zip
495.628,351.371,131.764,483.135,zip
545.865,382.022,151.217,533.239,zip
457.409,355.377,90.818,446.195,zip
312.53,242.762,59.695,302.457,zip
523.387,363.709,147.118,510.827,zip
345.468,258.878,74.525,333.403,zip
426.101,284.789,122.617,407.406,zip
661.512,485.691,157.849,643.54,zip
643.972,484.467,136.131,620.598,zip
553.279,422.106,111.499,533.605,zip
596.278,446.135,116.557,562.692,zip
750.78,539.054,186.439,725.493,zip
466.569,343.467,96.979,440.446,zip
537.166,382.085,144.79,526.875,zip
572.843,405.251,145.575,550.826,zip
547.462,404.018,112.005,516.023,zip
566.959,406.662,142.134,548.796,zip
574.423,407.325,134.457,541.782,zip
551.453,388.726,146.763,535.489,zip
517.593,342.672,145.734,488.406,zip
496.788,383.541,99.88,483.421,zip
580.58,433.757,120.488,554.245,zip
477.154,353.689,77.733,431.422,zip
530.689,373.851,124.617,498.468,zip
625.885,424.619,141.539,566.158,zip
288.615,174.126,65.781,239.907,zip
355.967,230.288,72.722,303.01,zip
434.884,235.032,91.622,326.654,zip
493.506,367.661,89.959,457.62,zip
671.747,496.405,141.83,638.235,zip
479.925,283.685,89.38,373.065,zip
303.411,240.616,42.689,283.305,zip
467.025,378.072,63.012,441.084,zip
523.892,317.271,72.289,389.56,zip
371.184,285.995,64.449,350.444,zip
672.06,419.228,89.28,508.508,zip
423.704,285.543,86.747,372.29,zip
442.845,270.833,82.07,352.903,zip
422.893,334.888,74.857,409.745,zip
520.028,315.022,86.631,401.653,zip
424.909,291.482,79.858,371.34,zip
405.259,305.72,71.467,377.187,zip
