elapsed_wall_ms,cpu_user_ms,cpu_sys_ms,cpu_total_ms,mode,source
977.197,318.24,78.526,396.766,cold,zip
856.05,313.65,65.025,378.675,cold,zip
840.84,348.375,73.773,422.148,cold,zip
671.229,374.514,68.788,443.302,cold,zip
967.562,327.213,71.827,399.04,cold,zip
1108.144,431.632,68.755,500.387,cold,zip
790.261,352.84,58.806,411.646,cold,zip
974.375,300.831,84.232,385.063,cold,zip
859.405,452.352,54.127,506.479,cold,zip
1059.59,456.307,59.843,516.15,cold,zip
1017.452,347.637,61.123,408.76,cold,zip
780.38,428.782,70.808,499.59,cold,zip
719.742,360.299,65.16,425.459,cold,zip
1011.447,318.549,59.727,378.276,cold,zip
1106.404,442.987,56.897,499.884,cold,zip
926.77,391.629,69.111,460.74,cold,zip
858.011,349.8,54.788,404.588,cold,zip
644.96,436.448,47.612,484.06,cold,zip
885.68,440.376,59.51,499.886,cold,zip
851.681,549.3,65.301,614.601,cold,zip
883.583,439.72,79.228,518.948,cold,zip
953.597,357.065,66.704,423.769,cold,zip
928.768,356.369,68.241,424.61,cold,zip
756.791,331.753,77.152,408.905,cold,zip
699.357,351.648,67.932,419.58,cold,zip
777.968,356.028,77.397,433.425,cold,zip
678.419,333.985,74.219,408.204,cold,zip
855.254,399.802,93.157,492.959,cold,zip
1078.56,362.663,77.162,439.825,cold,zip
1065.354,345.94,70.855,416.795,cold,zip
969.904,384.495,78.468,462.963,cold,zip
1006.267,344.412,71.257,415.669,cold,zip
663.65,443.116,86.161,529.277,cold,zip
848.828,393.424,69.427,462.851,cold,zip
821.912,406.637,58.649,465.286,cold,zip
640.09,422.726,85.32,508.046,cold,zip
853.785,330.921,97.579,428.5,cold,zip
902.797,343.643,71.925,415.568,cold,zip
900.419,437.189,75.514,512.703,cold,zip
959.633,321.684,95.313,416.997,cold,zip
735.273,433.283,71.551,504.834,cold,zip
890.38,413.146,67.533,480.679,cold,zip
826.659,388.842,66.185,455.027,cold,zip
485.783,384.813,93.165,477.978,cold,zip
900.074,419.9,76.345,496.245,cold,zip
729.6,388.332,84.947,473.279,cold,zip
945.536,376.431,68.81,445.241,cold,zip
893.428,434.153,78.937,513.09,cold,zip
606.38,301.724,82.974,384.698,cold,zip
673.77,473.976,73.548,547.524,cold,zip
895.277,365.99,73.198,439.188,cold,zip
909.228,356.268,98.963,455.231,cold,zip
934.148,342.426,51.762,394.188,cold,zip
522.919,403.331,72.599,475.93,cold,zip
700.667,425.968,81.136,507.104,cold,zip
889.164,425.979,71.66,497.639,cold,zip
835.358,440.025,74.647,514.672,cold,zip
784.614,379.955,75.199,455.154,cold,zip
647.503,403.96,66.673,470.633,cold,zip
836.646,319.478,74.939,394.417,cold,zip
602.239,415.342,88.452,503.794,cold,zip
959.827,425.3,75.52,500.82,cold,zip
908.997,434.532,45.96,480.492,cold,zip
542.887,434.069,73.636,507.705,cold,zip
882.162,434.721,75.088,509.809,cold,zip
718.585,341.316,57.571,398.887,cold,zip
899.125,350.531,72.523,423.054,cold,zip
882.608,338.474,89.268,427.742,cold,zip
837.252,311.196,87.773,398.969,cold,zip
987.131,362.974,76.627,439.601,cold,zip
889.477,400.766,55.551,456.317,cold,zip
832.336,405.103,82.593,487.696,cold,zip
828.545,361.467,71.452,432.919,cold,zip
830.744,387.223,86.507,473.73,cold,zip
795.155,363.204,75.667,438.871,cold,zip
