elapsed_wall_ms,cpu_user_ms,cpu_sys_ms,cpu_total_ms,mode,source
2811.106,707.27,104.483,811.753,cold,zip
2779.021,739.638,104.011,843.649,cold,zip
3037.346,639.727,120.924,760.651,cold,zip
2964.607,689.322,91.356,780.678,cold,zip
3146.837,647.272,85.167,732.439,cold,zip
3184.115,751.491,112.918,864.409,cold,zip
3669.123,691.334,115.222,806.556,cold,zip
3815.74,609.011,105.261,714.272,cold,zip
1905.046,688.98,91.072,780.052,cold,zip
2935.622,647.003,132.518,779.521,cold,zip
2839.867,691.852,125.791,817.643,cold,zip
3167.64,769.759,96.219,865.978,cold,zip
3621.539,723.062,103.824,826.886,cold,zip
3532.042,688.616,99.511,788.127,cold,zip
3105.965,730.937,107.843,838.78,cold,zip
2912.688,624.568,115.366,739.934,cold,zip
3094.638,707.734,121.214,828.948,cold,zip
2787.035,733.128,95.625,828.753,cold,zip
2855.65,708.599,144.94,853.539,cold,zip
2892.385,662.503,96.294,758.797,cold,zip
2633.45,688.466,133.759,822.225,cold,zip
3086.246,734.132,134.196,868.328,cold,zip
3246.384,634.122,141.364,775.486,cold,zip
3598.21,738.27,147.654,885.924,cold,zip
3278.639,754.724,129.15,883.874,cold,zip
3044.891,687.765,131.192,818.957,cold,zip
2788.069,744.793,134.696,879.489,cold,zip
3381.47,689.34,140.204,829.544,cold,zip
2821.425,722.302,94.213,816.515,cold,zip
2764.024,760.563,116.085,876.648,cold,zip
2181.291,728.807,125.386,854.193,cold,zip
2770.005,763.517,139.911,903.428,cold,zip
2068.068,714.537,104.37,818.907,cold,zip
2757.312,633.766,154.92,788.686,cold,zip
2971.767,809.964,93.613,903.577,cold,zip
2934.924,715.513,124.437,839.95,cold,zip
2835.435,699.594,113.229,812.823,cold,zip
3121.127,662.197,108.969,771.166,cold,zip
3312.315,679.002,82.303,761.305,cold,zip
3058.572,759.737,79.553,839.29,cold,zip
2669.632,655.48,126.357,781.837,cold,zip
3148.003,717.939,117.628,835.567,cold,zip
2454.987,715.983,126.35,842.333,cold,zip
2897.52,733.656,112.571,846.227,cold,zip
3443.884,763.14,101.481,864.621,cold,zip
2258.721,649.271,125.919,775.19,cold,zip
3315.083,671.482,125.397,796.879,cold,zip
4115.258,692.604,135.425,828.029,cold,zip
3257.835,771.06,134.441,905.501,cold,zip
2753.924,707.815,97.629,805.444,cold,zip
3084.0,718.897,115.182,834.079,cold,zip
3463.933,711.015,107.248,818.263,cold,zip
3283.496,684.031,139.915,823.946,cold,zip
3256.649,742.186,103.293,845.479,cold,zip
3077.32,676.829,126.658,803.487,cold,zip
2889.485,713.224,111.959,825.183,cold,zip
2833.788,680.406,127.576,807.982,cold,zip
2716.343,732.49,93.014,825.504,cold,zip
2291.145,626.871,134.329,761.2,cold,zip
3020.465,676.79,121.274,798.064,cold,zip
3465.765,704.891,100.698,805.589,cold,zip
3328.128,736.931,124.771,861.702,cold,zip
3685.136,726.702,104.968,831.67,cold,zip
3345.719,669.052,119.199,788.251,cold,zip
4087.945,619.676,110.074,729.75,cold,zip
3330.085,581.517,146.342,727.859,cold,zip
3752.734,660.515,155.638,816.153,cold,zip
4151.16,720.439,137.424,857.863,cold,zip
3862.283,694.392,128.131,822.523,cold,zip
4139.656,691.396,106.956,798.352,cold,zip
3522.617,664.291,117.227,781.518,cold,zip
3921.342,729.537,127.379,856.916,cold,zip
3088.961,738.867,145.415,884.282,cold,zip
2696.344,627.587,130.907,758.494,cold,zip
3910.349,693.804,121.72,815.524,cold,zip
4033.358,625.849,132.992,758.841,cold,zip
4284.725,654.098,143.582,797.68,cold,zip
3902.649,641.079,95.127,736.206,cold,zip
3869.337,820.237,108.846,929.083,cold,zip
3189.204,722.671,113.043,835.714,cold,zip
2904.805,646.194,106.335,752.529,cold,zip
3228.306,678.87,113.822,792.692,cold,zip
4026.23,704.802,103.53,808.332,cold,zip
3597.746,730.107,115.89,845.997,cold,zip
3210.056,758.284,94.294,852.578,cold,zip
2435.817,778.313,101.18,879.493,cold,zip
3496.222,649.172,105.49,754.662,cold,zip
3301.179,649.674,130.727,780.401,cold,zip
3115.744,722.257,77.662,799.919,cold,zip
3889.007,719.605,105.11,824.715,cold,zip
3900.938,635.659,147.286,782.945,cold,zip
3987.77,689.52,110.16,799.68,cold,zip
3251.245,669.235,125.973,795.208,cold,zip
2005.89,736.395,129.952,866.347,cold,zip
3631.397,735.761,108.078,843.839,cold,zip
4080.854,660.545,153.34,813.885,cold,zip
3564.321,773.774,115.667,889.441,cold,zip
2419.943,686.503,123.416,809.919,cold,zip
2301.523,740.618,134.657,875.275,cold,zip
3518.917,623.879,129.637,753.516,cold,zip
3493.976,705.833,121.0,826.833,cold,zip
3364.771,690.89,92.118,783.008,cold,zip
3487.752,698.215,107.724,805.939,cold,zip
2977.328,711.639,124.849,836.488,cold,zip
2951.348,629.509,139.472,768.981,cold,zip
2835.583,677.13,95.035,772.165,cold,zip
2460.097,652.907,129.017,781.924,cold,zip
3551.863,662.144,150.302,812.446,cold,zip
3791.938,697.16,108.18,805.34,cold,zip
2309.04,729.519,114.978,844.497,cold,zip
4061.948,681.728,133.911,815.639,cold,zip
3471.503,628.992,142.413,771.405,cold,zip
3575.603,687.1,108.693,795.793,cold,zip
3973.038,719.082,119.226,838.308,cold,zip
3681.832,704.725,137.795,842.52,cold,zip
3296.423,672.237,105.697,777.934,cold,zip
4030.18,689.62,132.469,822.089,cold,zip
2194.962,690.046,125.832,815.878,cold,zip
2733.956,595.732,138.083,733.815,cold,zip
3165.559,660.019,103.128,763.147,cold,zip
3180.578,665.421,126.93,792.351,cold,zip
3088.925,658.759,113.041,771.8,cold,zip
3648.59,690.169,129.406,819.575,cold,zip
3278.266,689.607,122.158,811.765,cold,zip
2917.762,734.043,88.73,822.773,cold,zip
2981.891,662.071,133.197,795.268,cold,zip
