elapsed_wall_ms,cpu_user_ms,cpu_sys_ms,cpu_total_ms,mode,source
2378.533,658.371,128.647,787.018,cold,zip
2353.847,690.031,104.307,794.338,cold,zip
2804.882,742.538,60.863,803.401,cold,zip
2762.707,746.878,85.136,832.014,cold,zip
2485.615,699.345,92.442,791.787,cold,zip
2992.239,679.377,105.68,785.057,cold,zip
2663.195,704.299,129.121,833.42,cold,zip
2419.439,735.354,93.875,829.229,cold,zip
1822.215,686.368,102.955,789.323,cold,zip
1832.25,707.237,92.066,799.303,cold,zip
2338.259,651.098,103.856,754.954,cold,zip
2222.476,792.001,114.901,906.902,cold,zip
2283.282,692.637,166.071,858.708,cold,zip
2592.251,795.063,100.347,895.41,cold,zip
2476.249,843.862,121.148,965.01,cold,zip
2666.363,712.497,132.376,844.873,cold,zip
2001.982,821.23,89.944,911.174,cold,zip
2665.541,741.508,109.274,850.782,cold,zip
3346.327,680.202,137.613,817.815,cold,zip
2469.586,727.045,138.296,865.341,cold,zip
3173.032,768.165,124.026,892.191,cold,zip
3227.159,682.053,156.471,838.524,cold,zip
3025.608,876.027,121.882,997.909,cold,zip
2988.414,649.858,133.2,783.058,cold,zip
2641.102,750.311,110.099,860.41,cold,zip
3099.007,660.6,135.122,795.722,cold,zip
2534.7,732.574,110.28,842.854,cold,zip
2290.344,752.529,94.558,847.087,cold,zip
2355.218,783.461,94.487,877.948,cold,zip
2601.541,719.447,136.851,856.298,cold,zip
2929.474,692.242,124.764,817.006,cold,zip
3031.331,615.495,123.898,739.393,cold,zip
2056.457,709.001,90.594,799.595,cold,zip
3212.17,782.967,95.386,878.353,cold,zip
2404.904,774.825,108.395,883.22,cold,zip
3253.559,658.852,111.131,769.983,cold,zip
3176.614,672.934,120.166,793.1,cold,zip
2210.644,686.453,126.244,812.697,cold,zip
2641.015,743.311,120.537,863.848,cold,zip
2311.463,680.503,130.718,811.221,cold,zip
3151.686,735.174,121.136,856.31,cold,zip
2975.1,737.862,134.878,872.74,cold,zip
3297.268,584.119,149.976,734.095,cold,zip
2763.519,775.466,84.377,859.843,cold,zip
3187.282,704.671,111.669,816.34,cold,zip
3386.507,624.576,117.615,742.191,cold,zip
2814.583,882.06,93.49,975.55,cold,zip
3788.856,677.263,122.397,799.66,cold,zip
3144.7,693.722,132.508,826.23,cold,zip
2310.39,738.593,106.601,845.194,cold,zip
2564.185,734.443,127.729,862.172,cold,zip
3217.559,745.345,110.573,855.918,cold,zip
3027.707,633.865,127.57,761.435,cold,zip
2513.465,669.736,120.708,790.444,cold,zip
2758.091,679.171,132.521,811.692,cold,zip
2898.044,696.122,117.922,814.044,cold,zip
2998.773,634.439,127.638,762.077,cold,zip
2601.445,727.184,110.303,837.487,cold,zip
3186.028,639.772,132.783,772.555,cold,zip
2672.413,686.219,106.482,792.701,cold,zip
3045.338,677.846,118.228,796.074,cold,zip
3160.417,740.766,147.377,888.143,cold,zip
3829.363,775.242,102.316,877.558,cold,zip
3466.545,718.206,133.437,851.643,cold,zip
3093.433,681.776,130.962,812.738,cold,zip
3716.234,691.053,137.425,828.478,cold,zip
3407.836,625.606,132.115,757.721,cold,zip
2122.113,710.454,111.132,821.586,cold,zip
3084.97,732.532,144.896,877.428,cold,zip
3379.359,699.269,135.086,834.355,cold,zip
2920.834,628.23,110.416,738.646,cold,zip
3274.444,686.855,124.882,811.737,cold,zip
2892.198,742.345,119.092,861.437,cold,zip
3627.125,685.657,120.086,805.743,cold,zip
2575.039,791.85,100.488,892.338,cold,zip
2827.595,755.585,121.363,876.948,cold,zip
3965.331,675.661,135.931,811.592,cold,zip
3068.05,722.936,119.823,842.759,cold,zip
3181.38,753.608,81.157,834.765,cold,zip
2720.995,753.166,111.58,864.746,cold,zip
1865.265,703.307,112.684,815.991,cold,zip
3197.77,673.755,94.012,767.767,cold,zip
2864.624,705.782,132.808,838.59,cold,zip
2559.562,625.298,124.306,749.604,cold,zip
2461.356,715.27,110.355,825.625,cold,zip
2660.298,849.226,105.664,954.89,cold,zip
4178.286,584.165,132.947,717.112,cold,zip
3737.241,806.633,88.345,894.978,cold,zip
3512.626,713.354,123.541,836.895,cold,zip
4258.147,633.652,124.324,757.976,cold,zip
3598.181,687.893,108.614,796.507,cold,zip
3623.878,729.693,119.685,849.378,cold,zip
4086.796,606.72,150.738,757.458,cold,zip
4507.368,636.842,126.577,763.419,cold,zip
2917.824,678.173,123.304,801.477,cold,zip
3208.592,765.874,103.912,869.786,cold,zip
3667.74,733.613,111.386,844.999,cold,zip
3615.213,613.424,158.303,771.727,cold,zip
3664.09,627.083,128.632,755.715,cold,zip
4043.904,776.556,114.898,891.454,cold,zip
3474.373,666.466,136.505,802.971,cold,zip
2561.792,692.541,118.046,810.587,cold,zip
3966.62,698.608,105.968,804.576,cold,zip
2876.153,641.966,132.535,774.501,cold,zip
3596.052,652.154,112.026,764.18,cold,zip
2713.151,616.913,123.382,740.295,cold,zip
2895.319,634.415,138.778,773.193,cold,zip
2966.613,682.807,84.845,767.652,cold,zip
3812.264,619.828,113.05,732.878,cold,zip
3352.237,755.24,98.674,853.914,cold,zip
3271.897,655.241,95.307,750.548,cold,zip
2920.152,688.763,101.288,790.051,cold,zip
2785.991,776.947,105.762,882.709,cold,zip
3861.515,640.415,89.814,730.229,cold,zip
2558.826,624.922,121.738,746.66,cold,zip
3348.069,663.181,111.861,775.042,cold,zip
3575.122,617.893,140.785,758.678,cold,zip
3570.145,709.567,114.957,824.524,cold,zip
3045.562,648.294,117.527,765.821,cold,zip
3431.315,642.822,127.765,770.587,cold,zip
3183.833,650.58,124.82,775.4,cold,zip
2500.139,710.937,117.812,828.749,cold,zip
3533.964,629.081,114.021,743.102,cold,zip
2856.65,687.269,134.294,821.563,cold,zip
3168.981,675.338,126.626,801.964,cold,zip
3692.515,639.526,114.055,753.581,cold,zip
3486.108,726.635,109.604,836.239,cold,zip
3720.233,707.842,139.247,847.089,cold,zip
3818.484,642.514,107.75,750.264,cold,zip
2857.634,713.345,120.273,833.618,cold,zip
3808.41,738.095,131.217,869.312,cold,zip
3576.261,692.104,109.485,801.589,cold,zip
3234.327,724.367,126.665,851.032,cold,zip
3372.16,687.145,121.031,808.176,cold,zip
2052.879,683.481,126.424,809.905,cold,zip
3857.572,629.965,117.384,747.349,cold,zip
3861.163,709.72,141.944,851.664,cold,zip
3201.714,685.107,128.457,813.564,cold,zip
2877.058,624.783,127.344,752.127,cold,zip
3041.642,719.685,127.003,846.688,cold,zip
3823.205,699.43,94.305,793.735,cold,zip
4588.046,682.476,120.658,803.134,cold,zip
3600.127,701.033,133.905,834.938,cold,zip
3335.326,714.654,106.02,820.674,cold,zip
2953.805,683.475,88.314,771.789,cold,zip
4395.564,655.402,128.807,784.209,cold,zip
4191.627,663.267,136.673,799.94,cold,zip
4136.823,677.049,129.558,806.607,cold,zip
3607.953,746.367,116.998,863.365,cold,zip
4524.309,651.655,110.514,762.169,cold,zip
3514.552,621.825,155.456,777.281,cold,zip
3189.035,666.655,129.409,796.064,cold,zip
3565.476,726.364,151.026,877.39,cold,zip
2237.917,636.075,111.519,747.594,cold,zip
3317.379,698.379,102.479,800.858,cold,zip
