elapsed_wall_ms,cpu_user_ms,cpu_sys_ms,cpu_total_ms,mode,source
483.879,584.406,100.069,684.475,cold,zip
562.436,683.561,71.953,755.514,cold,zip
596.413,511.796,99.185,610.981,cold,zip
685.495,627.095,84.961,712.056,cold,zip
639.623,1003.581,112.37,1115.951,cold,zip
790.309,896.763,141.594,1038.357,cold,zip
579.715,498.142,63.762,561.904,cold,zip
667.538,479.157,98.187,577.344,cold,zip
460.487,846.407,117.014,963.421,cold,zip
602.972,469.736,117.434,587.17,cold,zip
605.588,869.47,76.269,945.739,cold,zip
598.534,503.942,100.788,604.73,cold,zip
706.332,734.475,82.863,817.338,cold,zip
403.062,911.679,121.296,1032.975,cold,zip
356.309,1074.784,99.887,1174.671,cold,zip
637.881,533.255,76.179,609.434,cold,zip
532.037,518.841,95.786,614.627,cold,zip
552.344,460.849,72.132,532.981,cold,zip
455.795,546.62,82.582,629.202,cold,zip
570.577,504.907,82.194,587.101,cold,zip
506.122,408.056,103.004,511.06,cold,zip
512.681,478.012,62.69,540.702,cold,zip
507.454,475.355,93.512,568.867,cold,zip
580.601,417.781,88.155,505.936,cold,zip
474.561,485.277,76.835,562.112,cold,zip
560.298,524.278,99.295,623.573,cold,zip
498.57,473.761,88.328,562.089,cold,zip
625.762,427.271,106.817,534.088,cold,zip
534.717,504.231,81.327,585.558,cold,zip
600.278,452.281,74.08,526.361,cold,zip
579.852,421.959,84.391,506.35,cold,zip
633.529,588.485,98.08,686.565,cold,zip
669.164,727.659,117.998,845.657,cold,zip
666.457,443.964,110.991,554.955,cold,zip
569.995,678.744,105.931,784.675,cold,zip
705.117,792.728,132.121,924.849,cold,zip
610.824,397.662,108.102,505.764,cold,zip
730.531,574.681,102.34,677.021,cold,zip
590.504,617.417,79.156,696.573,cold,zip
670.594,426.755,103.697,530.452,cold,zip
548.794,459.061,71.853,530.914,cold,zip
525.083,514.025,67.739,581.764,cold,zip
497.731,743.88,79.136,823.016,cold,zip
468.198,466.213,59.264,525.477,cold,zip
556.052,690.85,80.153,771.003,cold,zip
556.198,478.335,101.111,579.446,cold,zip
551.684,499.777,94.446,594.223,cold,zip
514.915,514.837,86.461,601.298,cold,zip
598.702,494.098,102.937,597.035,cold,zip
569.877,521.919,102.74,624.659,cold,zip
669.11,593.197,91.567,684.764,cold,zip
271.389,761.881,70.69,832.571,cold,zip
472.314,425.813,101.57,527.383,cold,zip
559.347,397.738,61.19,458.928,cold,zip
502.01,455.994,91.198,547.192,cold,zip
611.795,442.782,81.565,524.347,cold,zip
466.429,413.161,66.105,479.266,cold,zip
442.6,668.057,95.436,763.493,cold,zip
596.344,475.938,85.424,561.362,cold,zip
693.381,586.877,99.809,686.686,cold,zip
461.147,584.992,84.142,669.134,cold,zip
422.092,483.756,72.947,556.703,cold,zip
451.17,495.777,62.955,558.732,cold,zip
572.679,527.268,72.449,599.717,cold,zip
469.331,459.613,54.072,513.685,cold,zip
674.254,594.047,95.047,689.094,cold,zip
600.909,449.489,78.172,527.661,cold,zip
604.428,636.579,72.983,709.562,cold,zip
439.652,662.033,60.184,722.217,cold,zip
501.392,612.614,93.934,706.548,cold,zip
569.001,456.768,80.843,537.611,cold,zip
551.571,444.631,68.096,512.727,cold,zip
507.423,553.025,66.676,619.701,cold,zip
579.722,525.447,94.11,619.557,cold,zip
443.283,567.022,72.385,639.407,cold,zip
643.743,495.736,60.455,556.191,cold,zip
492.199,616.506,66.755,683.261,cold,zip
317.263,429.522,70.285,499.807,cold,zip
544.381,678.932,76.715,755.647,cold,zip
477.322,588.821,64.58,653.401,cold,zip
547.15,500.449,68.609,569.058,cold,zip
453.795,505.38,65.583,570.963,cold,zip
573.75,456.307,82.607,538.914,cold,zip
579.936,463.642,43.966,507.608,cold,zip
422.314,583.382,47.301,630.683,cold,zip
559.058,597.562,89.829,687.391,cold,zip
463.399,681.869,61.614,743.483,cold,zip
442.578,510.597,74.625,585.222,cold,zip
599.052,676.48,80.056,756.536,cold,zip
447.093,395.246,63.878,459.124,cold,zip
474.76,377.099,77.752,454.851,cold,zip
383.719,528.015,68.001,596.016,cold,zip
532.628,399.077,83.141,482.218,cold,zip
503.571,454.874,81.644,536.518,cold,zip
472.578,714.605,63.875,778.48,cold,zip
434.889,584.103,68.012,652.115,cold,zip
524.646,481.433,109.8,591.233,cold,zip
501.67,351.672,122.492,474.164,cold,zip
425.364,410.912,56.399,467.311,cold,zip
546.68,448.513,64.073,512.586,cold,zip
533.946,455.967,74.684,530.651,cold,zip
543.842,805.316,64.104,869.42,cold,zip
743.219,428.209,108.998,537.207,cold,zip
550.869,642.089,76.248,718.337,cold,zip
556.685,520.106,60.012,580.118,cold,zip
477.023,446.772,63.824,510.596,cold,zip
497.556,528.082,47.646,575.728,cold,zip
594.181,435.891,87.178,523.069,cold,zip
591.467,480.24,48.427,528.667,cold,zip
469.743,553.028,77.261,630.289,cold,zip
613.415,490.665,80.499,571.164,cold,zip
472.721,620.407,71.129,691.536,cold,zip
400.959,498.659,78.529,577.188,cold,zip
489.265,479.134,89.594,568.728,cold,zip
452.283,490.507,86.119,576.626,cold,zip
565.49,497.767,49.365,547.132,cold,zip
368.489,454.31,62.127,516.437,cold,zip
688.894,479.87,80.618,560.488,cold,zip
483.786,593.147,74.143,667.29,cold,zip
845.173,464.908,126.076,590.984,cold,zip
708.26,555.444,40.543,595.987,cold,zip
481.536,463.79,60.494,524.284,cold,zip
471.742,443.371,77.108,520.479,cold,zip
433.884,536.136,65.102,601.238,cold,zip
695.341,463.699,80.476,544.175,cold,zip
630.563,503.051,80.03,583.081,cold,zip
657.856,493.197,54.799,547.996,cold,zip
777.359,430.781,90.69,521.471,cold,zip
887.151,502.336,54.097,556.433,cold,zip
769.163,334.373,77.761,412.134,cold,zip
766.693,377.015,63.497,440.512,cold,zip
1081.449,382.014,56.296,438.31,cold,zip
740.386,355.676,79.039,434.715,cold,zip
959.135,391.883,71.251,463.134,cold,zip
1212.02,364.729,64.84,429.569,cold,zip
659.21,425.183,69.575,494.758,cold,zip
664.532,380.082,92.998,473.08,cold,zip
962.958,411.838,77.915,489.753,cold,zip
767.093,430.405,73.673,504.078,cold,zip
635.307,383.226,64.503,447.729,cold,zip
544.599,389.954,76.461,466.415,cold,zip
728.561,450.989,60.4,511.389,cold,zip
837.561,365.473,75.355,440.828,cold,zip
812.192,391.466,55.923,447.389,cold,zip
875.368,568.03,81.702,649.732,cold,zip
700.633,385.759,97.414,483.173,cold,zip
866.06,346.766,82.751,429.517,cold,zip
969.235,463.726,84.313,548.039,cold,zip
878.689,402.316,70.996,473.312,cold,zip
934.482,437.844,60.917,498.761,cold,zip
646.963,423.486,58.817,482.303,cold,zip
637.01,515.089,72.434,587.523,cold,zip
903.137,445.512,59.666,505.178,cold,zip
751.278,443.645,55.455,499.1,cold,zip
537.458,607.258,61.886,669.144,cold,zip
758.001,435.636,60.505,496.141,cold,zip
672.992,428.546,56.071,484.617,cold,zip
886.105,411.813,73.125,484.938,cold,zip
933.15,351.686,79.03,430.716,cold,zip
915.644,351.456,69.473,420.929,cold,zip
886.239,343.035,77.962,420.997,cold,zip
922.587,556.435,49.46,605.895,cold,zip
883.723,415.874,63.98,479.854,cold,zip
811.666,505.735,79.413,585.148,cold,zip
897.21,444.685,71.467,516.152,cold,zip
738.905,426.102,66.456,492.558,cold,zip
608.186,347.743,82.984,430.727,cold,zip
829.074,467.229,58.403,525.632,cold,zip
854.124,321.272,81.334,402.606,cold,zip
555.926,415.894,55.452,471.346,cold,zip
1101.664,490.281,60.28,550.561,cold,zip
1079.284,440.804,83.395,524.199,cold,zip
875.463,396.574,75.349,471.923,cold,zip
459.916,402.281,74.934,477.215,cold,zip
815.506,404.608,84.126,488.734,cold,zip
730.408,533.881,63.915,597.796,cold,zip
900.121,400.075,58.263,458.338,cold,zip
846.778,396.763,43.643,440.406,cold,zip
666.439,546.53,58.141,604.671,cold,zip
801.033,322.756,85.55,408.306,cold,zip
738.128,342.159,69.987,412.146,cold,zip
867.563,400.295,61.269,461.564,cold,zip
942.372,379.12,55.87,434.99,cold,zip
989.256,402.524,58.096,460.62,cold,zip
876.004,526.485,47.147,573.632,cold,zip
755.762,402.513,78.924,481.437,cold,zip
738.693,486.762,76.056,562.818,cold,zip
811.422,420.51,60.072,480.582,cold,zip
893.757,396.217,65.395,461.612,cold,zip
837.648,385.531,51.141,436.672,cold,zip
950.924,397.217,68.209,465.426,cold,zip
589.606,463.36,91.873,555.233,cold,zip
867.208,428.235,63.442,491.677,cold,zip
859.823,398.7,75.543,474.243,cold,zip
909.046,475.729,46.309,522.038,cold,zip
756.374,362.495,87.762,450.257,cold,zip
566.848,368.55,56.083,424.633,cold,zip
798.727,364.617,58.183,422.8,cold,zip
784.336,432.115,70.709,502.824,cold,zip
655.484,308.131,82.168,390.299,cold,zip
763.352,347.306,74.986,422.292,cold,zip
765.792,359.184,94.729,453.913,cold,zip
720.504,376.309,74.516,450.825,cold,zip
638.379,357.511,79.447,436.958,cold,zip
694.739,474.125,66.066,540.191,cold,zip
774.528,388.108,50.963,439.071,cold,zip
669.773,362.815,78.024,440.839,cold,zip
847.801,389.022,54.379,443.401,cold,zip
818.252,351.445,60.965,412.41,cold,zip
929.51,389.953,81.89,471.843,cold,zip
847.961,418.394,72.931,491.325,cold,zip
799.111,543.675,59.095,602.77,cold,zip
914.167,484.802,56.092,540.894,cold,zip
850.507,413.598,64.248,477.846,cold,zip
730.67,362.454,79.286,441.74,cold,zip
698.072,324.685,75.232,399.917,cold,zip
950.651,391.14,57.641,448.781,cold,zip
537.42,362.951,72.59,435.541,cold,zip
625.96,378.124,76.429,454.553,cold,zip
527.262,483.349,71.903,555.252,cold,zip
992.685,469.472,83.55,553.022,cold,zip
1113.488,401.72,75.796,477.516,cold,zip
674.081,402.912,45.612,448.524,cold,zip
724.53,481.549,64.459,546.008,cold,zip
975.875,353.139,42.687,395.826,cold,zip
794.02,452.094,68.621,520.715,cold,zip
653.911,361.134,74.582,435.716,cold,zip
939.229,403.757,73.06,476.817,cold,zip
530.812,371.339,80.726,452.065,cold,zip
760.074,410.946,58.113,469.059,cold,zip
773.677,403.31,71.172,474.482,cold,zip
717.328,461.491,41.953,503.444,cold,zip
812.882,345.378,64.256,409.634,cold,zip
623.93,460.216,84.776,544.992,cold,zip
705.82,331.708,78.049,409.757,cold,zip
902.913,322.706,79.68,402.386,cold,zip
984.875,334.309,78.418,412.727,cold,zip
750.865,440.452,62.921,503.373,cold,zip
915.136,389.023,79.392,468.415,cold,zip
768.116,473.958,72.916,546.874,cold,zip
770.368,426.728,75.774,502.502,cold,zip
803.902,398.757,57.552,456.309,cold,zip
774.004,346.624,79.683,426.307,cold,zip
597.106,393.476,70.825,464.301,cold,zip
710.463,353.27,59.539,412.809,cold,zip
795.591,331.683,76.542,408.225,cold,zip
758.633,346.142,71.761,417.903,cold,zip
861.186,488.156,76.874,565.03,cold,zip
757.993,357.652,80.371,438.023,cold,zip
669.443,313.895,98.092,411.987,cold,zip
790.482,375.438,62.573,438.011,cold,zip
866.759,359.451,81.166,440.617,cold,zip
839.029,348.499,59.403,407.902,cold,zip
804.124,360.405,47.525,407.93,cold,zip
751.095,380.773,60.122,440.895,cold,zip
749.51,475.201,67.32,542.521,cold,zip
698.5,365.083,78.232,443.315,cold,zip
816.153,396.622,66.758,463.38,cold,zip
804.984,381.431,61.645,443.076,cold,zip
706.191,361.976,62.409,424.385,cold,zip
805.173,342.001,57.0,399.001,cold,zip
456.923,416.88,54.741,471.621,cold,zip
865.422,316.61,95.816,412.426,cold,zip
858.19,381.477,78.655,460.132,cold,zip
849.438,403.04,63.222,466.262,cold,zip
809.724,417.078,59.582,476.66,cold,zip
693.367,343.389,70.238,413.627,cold,zip
727.59,280.059,87.045,367.104,cold,zip
892.531,371.495,51.377,422.872,cold,zip
846.903,319.781,55.961,375.742,cold,zip
921.232,313.927,75.342,389.269,cold,zip
993.663,403.666,48.439,452.105,cold,zip
705.163,394.847,79.809,474.656,cold,zip
814.241,374.445,74.066,448.511,cold,zip
880.297,384.598,49.097,433.695,cold,zip
878.747,343.108,59.671,402.779,cold,zip
800.124,382.853,69.609,452.462,cold,zip
821.403,374.838,94.696,469.534,cold,zip
880.733,398.427,75.701,474.128,cold,zip
928.765,373.303,60.864,434.167,cold,zip
739.846,497.824,67.704,565.528,cold,zip
676.151,319.427,86.433,405.86,cold,zip
776.526,390.172,64.358,454.53,cold,zip
739.785,333.205,73.615,406.82,cold,zip
730.401,375.605,55.352,430.957,cold,zip
790.01,351.914,73.476,425.39,cold,zip
975.367,362.735,57.273,420.008,cold,zip
865.782,368.663,76.137,444.8,cold,zip
908.473,523.623,74.803,598.426,cold,zip
783.936,410.714,51.339,462.053,cold,zip
825.835,327.382,72.751,400.133,cold,zip
911.65,416.692,66.67,483.362,cold,zip
939.605,402.653,71.76,474.413,cold,zip
715.683,393.738,64.283,458.021,cold,zip
974.476,383.682,63.947,447.629,cold,zip
647.42,424.566,72.782,497.348,cold,zip
995.712,441.557,66.429,507.986,cold,zip
805.53,435.964,89.528,525.492,cold,zip
627.456,354.776,63.78,418.556,cold,zip
798.203,370.227,47.771,417.998,cold,zip
621.068,473.43,110.721,584.151,cold,zip
993.534,373.806,91.374,465.18,cold,zip
1011.552,434.214,64.328,498.542,cold,zip
451.903,454.836,82.341,537.177,cold,zip
997.475,386.584,77.316,463.9,cold,zip
882.858,366.244,83.237,449.481,cold,zip
792.861,418.73,68.446,487.176,cold,zip
764.335,428.371,48.849,477.22,cold,zip
819.502,409.412,56.193,465.605,cold,zip
858.1,416.398,73.255,489.653,cold,zip
721.678,367.982,52.568,420.55,cold,zip
860.229,415.851,45.781,461.632,cold,zip
745.009,396.184,49.523,445.707,cold,zip
856.677,408.622,72.109,480.731,cold,zip
909.117,427.805,66.455,494.26,cold,zip
928.935,468.062,60.525,528.587,cold,zip
647.13,368.297,65.905,434.202,cold,zip
869.273,380.36,54.337,434.697,cold,zip
847.29,334.896,90.959,425.855,cold,zip
