elapsed_wall_ms,cpu_user_ms,cpu_sys_ms,cpu_total_ms,mode,source
451.675,840.459,163.528,1003.987,cold,zip
384.237,836.239,116.684,952.923,cold,zip
458.317,918.725,122.76,1041.485,cold,zip
529.674,883.95,137.503,1021.453,cold,zip
452.156,961.502,116.31,1077.812,cold,zip
364.306,983.829,115.979,1099.808,cold,zip
469.018,791.839,133.242,925.081,cold,zip
399.963,617.985,151.581,769.566,cold,zip
506.756,825.86,142.253,968.113,cold,zip
409.125,703.905,143.101,847.006,cold,zip
359.353,727.721,132.312,860.033,cold,zip
392.013,654.553,136.532,791.085,cold,zip
332.984,940.423,135.484,1075.907,cold,zip
363.054,1011.388,151.908,1163.296,cold,zip
340.415,862.025,135.295,997.32,cold,zip
412.208,1037.692,143.129,1180.821,cold,zip
404.732,972.323,158.101,1130.424,cold,zip
362.286,995.581,112.404,1107.985,cold,zip
336.514,746.63,154.066,900.696,cold,zip
408.656,661.8,167.443,829.243,cold,zip
354.716,682.767,132.537,815.304,cold,zip
428.059,860.09,152.905,1012.995,cold,zip
394.789,955.624,151.307,1106.931,cold,zip
299.14,972.081,149.55,1121.631,cold,zip
390.447,870.95,136.462,1007.412,cold,zip
312.729,1015.078,98.743,1113.821,cold,zip
346.504,588.369,112.07,700.439,cold,zip
347.762,879.508,103.471,982.979,cold,zip
309.134,693.745,162.534,856.279,cold,zip
311.636,727.793,119.373,847.166,cold,zip
418.161,863.866,157.415,1021.281,cold,zip
282.211,711.477,103.343,814.82,cold,zip
289.008,808.509,97.646,906.155,cold,zip
348.182,820.653,118.326,938.979,cold,zip
293.502,929.842,114.26,1044.102,cold,zip
398.643,600.374,154.043,754.417,cold,zip
459.632,949.185,119.645,1068.83,cold,zip
284.804,859.468,130.103,989.571,cold,zip
391.875,630.605,108.854,739.459,cold,zip
409.103,997.281,155.218,1152.499,cold,zip
385.588,974.806,117.446,1092.252,cold,zip
310.634,671.148,112.527,783.675,cold,zip
356.092,926.626,87.869,1014.495,cold,zip
332.775,985.951,101.435,1087.386,cold,zip
280.778,966.075,110.861,1076.936,cold,zip
406.298,912.308,108.992,1021.3,cold,zip
330.548,886.903,153.049,1039.952,cold,zip
375.316,907.431,99.937,1007.368,cold,zip
379.448,884.884,127.55,1012.434,cold,zip
335.928,888.168,136.641,1024.809,cold,zip
317.335,750.943,92.361,843.304,cold,zip
381.653,792.461,151.139,943.6,cold,zip
417.252,795.99,147.258,943.248,cold,zip
428.436,688.622,128.115,816.737,cold,zip
345.749,597.954,131.258,729.212,cold,zip
389.407,879.043,157.675,1036.718,cold,zip
304.225,785.999,97.761,883.76,cold,zip
361.305,653.476,131.446,784.922,cold,zip
356.178,840.322,163.285,1003.607,cold,zip
411.056,1064.275,126.605,1190.88,cold,zip
433.271,730.934,184.698,915.632,cold,zip
